"unattempted","wrong","correct","partCorrect1m","partCorrect2m","partCorrect3m","subject","paper","year","qaNum","qaType","markScheme","right","tot","wOtot","uOtot","cOtot","rOtot","not.rOtot"
7996,115450,36094,NA,NA,NA,"physics","1","2017",8,"SingDigitInteger","+03",36094,159540,0.724,0.05,0.226,0.226,0.774
5511,81444,72585,NA,NA,NA,"physics","1","2017",9,"SingDigitInteger","+03",72585,159540,0.51,0.035,0.455,0.455,0.545
9365,103014,47161,NA,NA,NA,"physics","1","2017",10,"SingDigitInteger","+03",47161,159540,0.646,0.059,0.296,0.296,0.704
8867,113387,37286,NA,NA,NA,"physics","1","2017",11,"SingDigitInteger","+03",37286,159540,0.711,0.056,0.234,0.234,0.766
14271,110692,34577,NA,NA,NA,"physics","1","2017",12,"SingDigitInteger","+03",34577,159540,0.694,0.089,0.217,0.217,0.783
43527,54492,61521,NA,NA,NA,"physics","1","2017",13,"SingCorrAns","-103",61521,159540,0.342,0.273,0.386,0.386,0.614
51952,48662,58926,NA,NA,NA,"physics","1","2017",14,"SingCorrAns","-103",58926,159540,0.305,0.326,0.369,0.369,0.631
45892,50737,62911,NA,NA,NA,"physics","1","2017",15,"SingCorrAns","-103",62911,159540,0.318,0.288,0.394,0.394,0.606
28823,31282,99435,NA,NA,NA,"physics","1","2017",16,"SingCorrAns","-103",99435,159540,0.196,0.181,0.623,0.623,0.377
22167,32636,104737,NA,NA,NA,"physics","1","2017",17,"SingCorrAns","-103",104737,159540,0.205,0.139,0.656,0.656,0.344
43924,26500,89116,NA,NA,NA,"physics","1","2017",18,"SingCorrAns","-103",89116,159540,0.166,0.275,0.559,0.559,0.441
67594,49229,42717,NA,NA,NA,"physics","2","2017",1,"SingCorrAns","-103",42717,159540,0.309,0.424,0.268,0.268,0.732
82616,40954,35970,NA,NA,NA,"physics","2","2017",2,"SingCorrAns","-103",35970,159540,0.257,0.518,0.225,0.225,0.775
69421,63795,26324,NA,NA,NA,"physics","2","2017",3,"SingCorrAns","-103",26324,159540,0.4,0.435,0.165,0.165,0.835
65216,52388,41936,NA,NA,NA,"physics","2","2017",4,"SingCorrAns","-103",41936,159540,0.328,0.409,0.263,0.263,0.737
58696,27253,73591,NA,NA,NA,"physics","2","2017",5,"SingCorrAns","-103",73591,159540,0.171,0.368,0.461,0.461,0.539
69570,41933,48037,NA,NA,NA,"physics","2","2017",6,"SingCorrAns","-103",48037,159540,0.263,0.436,0.301,0.301,0.699
67138,63818,28584,NA,NA,NA,"physics","2","2017",7,"SingCorrAns","-103",28584,159540,0.4,0.421,0.179,0.179,0.821
81061,29806,20378,28295,0,0,"physics","2","2017",8,"MultCorrAns","-201234",27452,159540,0.187,0.508,0.128,0.172,0.828
81055,53069,6242,19174,0,0,"physics","2","2017",9,"MultCorrAns","-201234",11036,159540,0.333,0.508,0.039,0.069,0.931
52584,57280,13140,36536,0,0,"physics","2","2017",10,"MultCorrAns","-201234",22274,159540,0.359,0.33,0.082,0.14,0.86
77391,51185,12742,18222,0,0,"physics","2","2017",11,"MultCorrAns","-201234",17298,159540,0.321,0.485,0.08,0.108,0.892
55143,47030,20654,14167,22546,0,"physics","2","2017",12,"MultCorrAns","-201234",35469,159540,0.295,0.346,0.129,0.222,0.778
44912,47467,15556,26506,25099,0,"physics","2","2017",13,"MultCorrAns","-201234",34732,159540,0.298,0.282,0.098,0.218,0.782
62894,54745,32921,8980,0,0,"physics","2","2017",14,"MultCorrAns","-201234",35166,159540,0.343,0.394,0.206,0.22,0.78
3907,104551,51082,NA,NA,NA,"physics","2","2017",15,"Compr","+03",51082,159540,0.655,0.024,0.32,0.32,0.68
4955,98242,56343,NA,NA,NA,"physics","2","2017",16,"Compr","+03",56343,159540,0.616,0.031,0.353,0.353,0.647
6098,113914,39528,NA,NA,NA,"physics","2","2017",18,"Compr","+03",39528,159540,0.714,0.038,0.248,0.248,0.752
62339,43678,4769,27263,21491,0,"chemistry","1","2017",1,"MultCorrAns","-201234",22330,159540,0.274,0.391,0.03,0.14,0.86
63895,32715,28827,34103,0,0,"chemistry","1","2017",2,"MultCorrAns","-201234",37353,159540,0.205,0.4,0.181,0.234,0.766
26968,16427,27459,34258,54428,0,"chemistry","1","2017",3,"MultCorrAns","-201234",63237,159540,0.103,0.169,0.172,0.396,0.604
67146,65590,7832,18972,0,0,"chemistry","1","2017",4,"MultCorrAns","-201234",12575,159540,0.411,0.421,0.049,0.079,0.921
97730,20500,1575,27562,12173,0,"chemistry","1","2017",5,"MultCorrAns","-201234",14552,159540,0.128,0.613,0.01,0.091,0.909
10708,80777,29668,38387,0,0,"chemistry","1","2017",6,"MultCorrAns","-201234",39265,159540,0.506,0.067,0.186,0.246,0.754
60977,54522,20551,23490,0,0,"chemistry","1","2017",7,"MultCorrAns","-201234",26423,159540,0.342,0.382,0.129,0.166,0.834
5343,75652,78545,NA,NA,NA,"chemistry","1","2017",8,"SingDigitInteger","+03",78545,159540,0.474,0.033,0.492,0.492,0.508
11921,122221,25398,NA,NA,NA,"chemistry","1","2017",9,"SingDigitInteger","+03",25398,159540,0.766,0.075,0.159,0.159,0.841
5741,102243,51556,NA,NA,NA,"chemistry","1","2017",10,"SingDigitInteger","+03",51556,159540,0.641,0.036,0.323,0.323,0.677
2462,123738,33340,NA,NA,NA,"chemistry","1","2017",12,"SingDigitInteger","+03",33340,159540,0.776,0.015,0.209,0.209,0.791
65428,48492,45620,NA,NA,NA,"chemistry","1","2017",13,"SingCorrAns","-103",45620,159540,0.304,0.41,0.286,0.286,0.714
60307,48157,51076,NA,NA,NA,"chemistry","1","2017",14,"SingCorrAns","-103",51076,159540,0.302,0.378,0.32,0.32,0.68
68246,64664,26630,NA,NA,NA,"chemistry","1","2017",15,"SingCorrAns","-103",26630,159540,0.405,0.428,0.167,0.167,0.833
38403,79599,41538,NA,NA,NA,"chemistry","1","2017",16,"SingCorrAns","-103",41538,159540,0.499,0.241,0.26,0.26,0.74
53611,65439,40490,NA,NA,NA,"chemistry","1","2017",17,"SingCorrAns","-103",40490,159540,0.41,0.336,0.254,0.254,0.746
36395,27919,95226,NA,NA,NA,"chemistry","1","2017",18,"SingCorrAns","-103",95226,159540,0.175,0.228,0.597,0.597,0.403
39872,51078,68590,NA,NA,NA,"chemistry","2","2017",1,"SingCorrAns","-103",68590,159540,0.32,0.25,0.43,0.43,0.57
32002,50654,76884,NA,NA,NA,"chemistry","2","2017",2,"SingCorrAns","-103",76884,159540,0.318,0.201,0.482,0.482,0.518
108054,27305,24181,NA,NA,NA,"chemistry","2","2017",3,"SingCorrAns","-103",24181,159540,0.171,0.677,0.152,0.152,0.848
32770,65234,61536,NA,NA,NA,"chemistry","2","2017",4,"SingCorrAns","-103",61536,159540,0.409,0.205,0.386,0.386,0.614
10620,26752,122168,NA,NA,NA,"chemistry","2","2017",5,"SingCorrAns","-103",122168,159540,0.168,0.067,0.766,0.766,0.234
35040,68938,55562,NA,NA,NA,"chemistry","2","2017",6,"SingCorrAns","-103",55562,159540,0.432,0.22,0.348,0.348,0.652
28471,49904,81165,NA,NA,NA,"chemistry","2","2017",7,"SingCorrAns","-103",81165,159540,0.313,0.178,0.509,0.509,0.491
30147,87251,21003,21139,0,0,"chemistry","2","2017",8,"MultCorrAns","-201234",26288,159540,0.547,0.189,0.132,0.165,0.835
79645,54581,13906,11408,0,0,"chemistry","2","2017",9,"MultCorrAns","-201234",16758,159540,0.342,0.499,0.087,0.105,0.895
96594,39553,4823,18570,0,0,"chemistry","2","2017",10,"MultCorrAns","-201234",9465,159540,0.248,0.605,0.03,0.059,0.941
