"","subject","topic","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011.1","X2011.2","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019.01091","X2019.01092","X2019.01101","X2019.01102","X2019.01111","X2019.01112","X2019.01121","X2019.01122","X2019.04081","X2019.04082","X2019.04091","X2019.04092","X2019.04101","X2019.04102","X2019.04121","X2019.04122","qTopic","avgWt","topicJEE","0%","25%","50%","75%","100%","subsec"
"19","p",NA,5.33333333333333,13.3333333333333,9.33333333333333,9.33333333333333,16.3636363636364,12.5,5.71428571428571,10,16.6666666666667,10,6.66666666666667,13.3333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,13.3333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,10,6.66666666666667,6.66666666666667,6.66666666666667,10,6.66666666666667,13.3333333333333,6.66666666666667,10,NA,8.78170359052712,"A-Unit18: atoms and nuclei;A-Unit17: dual nature of matter and radiation",5.33333333333333,6.66666666666667,6.66666666666667,10,16.6666666666667,"pA-U"
"41","c",NA,4,4,8,4,5.45454545454545,2.5,0,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,10,10,6.66666666666667,3.33333333333333,0,0,0,10,10,20,16.6666666666667,6.66666666666667,13.3333333333333,20,20,6.66666666666667,6.66666666666667,6.66666666666667,10,10,6.66666666666667,6.66666666666667,3.33333333333333,NA,7.48885918003565,"C-Organic Chemistry-Unit23: organic compounds containing oxygen",0,4,6.66666666666667,10,20,"cC-O"
"53","m",NA,6.94444444444444,10.7692307692308,8.95522388059701,8.82352941176471,8.33333333333333,5.55555555555556,5.88235294117647,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,10.3448275862069,6.89655172413793,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,10,6.89655172413793,6.89655172413793,10.3448275862069,6.89655172413793,6.66666666666667,6.89655172413793,6.66666666666667,10.3448275862069,6.66666666666667,6.66666666666667,6.66666666666667,3.44827586206897,6.66666666666667,6.89655172413793,NA,7.09193350887116,"Unit2: complex numbers and quadratic equations",3.33333333333333,6.66666666666667,6.66666666666667,6.93247126436782,10.7692307692308,"mUni"
"54","m",NA,1.38888888888889,4.61538461538462,4.47761194029851,5.88235294117647,5.55555555555556,8.33333333333333,8.82352941176471,6.66666666666667,10,6.66666666666667,10,6.66666666666667,6.66666666666667,6.89655172413793,6.89655172413793,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.89655172413793,10.3448275862069,6.89655172413793,6.89655172413793,6.66666666666667,6.89655172413793,3.33333333333333,6.89655172413793,6.66666666666667,6.66666666666667,6.66666666666667,3.44827586206897,6.66666666666667,3.44827586206897,NA,6.50766366859938,"Unit3: matrices and determinants",1.38888888888889,6.66666666666667,6.66666666666667,6.89655172413793,10.3448275862069,"mUni"
"15","p",NA,8,6.66666666666667,8,6.66666666666667,5.45454545454545,12.5,5.71428571428571,6.66666666666667,3.33333333333333,3.33333333333333,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,10,6.66666666666667,3.33333333333333,6.66666666666667,10,6.66666666666667,10,6.66666666666667,3.33333333333333,10,6.66666666666667,3.33333333333333,3.33333333333333,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,NA,6.46084797555386,"A-Unit13: magnetic effects of current and magnetism",3.33333333333333,5.51948051948052,6.66666666666667,6.66666666666667,12.5,"pA-U"
"35","c",NA,4,6.66666666666667,10.6666666666667,5.33333333333333,7.27272727272727,2.5,8.57142857142857,13.3333333333333,10,6.66666666666667,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,NA,6.127769289534,"B-Inorganic Chemistry-Unit17: co-ordination compounds;B-Inorganic Chemistry-Unit16: d- and f-block elements",2.5,3.5,6.66666666666667,6.66666666666667,13.3333333333333,"cB-I"
"5","c",NA,12,5.33333333333333,6.66666666666667,10.6666666666667,12.7272727272727,15,5.71428571428571,3.33333333333333,10,10,6.66666666666667,6.66666666666667,13.3333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,13.3333333333333,3.33333333333333,3.33333333333333,6.66666666666667,0,0,3.33333333333333,0,3.33333333333333,0,13.3333333333333,6.66666666666667,3.33333333333333,3.33333333333333,0,3.33333333333333,0,NA,6.12083015024192,"A-Physical Chemistry-Unit4: chemical bonding and molecular structure",0,3.33333333333333,6.66666666666667,9.16666666666667,15,"cA-P"
"43","c",NA,4,5.33333333333333,4,5.33333333333333,3.63636363636364,2.5,5.71428571428571,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,10,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,10,6.66666666666667,NA,5.7014896867838,"C-Organic Chemistry-Unit25: polymers;C-Organic Chemistry-Unit26: biomolecules",2.5,3.72727272727273,6.66666666666667,6.66666666666667,10,"cC-O"
"28","p",NA,0,0,0,0,0,0,0,0,0,10,6.66666666666667,10,6.66666666666667,10,10,10,6.66666666666667,3.33333333333333,10,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,10,6.66666666666667,3.33333333333333,6.66666666666667,10,6.66666666666667,10,6.66666666666667,6.66666666666667,10,NA,5.58823529411765,"A-Unit9: kinetic theory of gases",0,0.833333333333333,6.66666666666667,10,10,"pA-U"
"46","m",NA,8.33333333333333,4.61538461538462,4.47761194029851,2.94117647058824,5.55555555555556,2.77777777777778,5.88235294117647,6.66666666666667,6.66666666666667,10,6.66666666666667,3.33333333333333,6.66666666666667,3.44827586206897,3.44827586206897,6.66666666666667,10,3.33333333333333,3.33333333333333,6.66666666666667,6.89655172413793,6.89655172413793,6.89655172413793,3.44827586206897,6.66666666666667,6.89655172413793,6.66666666666667,6.89655172413793,3.33333333333333,3.33333333333333,3.33333333333333,3.44827586206897,6.66666666666667,6.89655172413793,NA,5.58104724785935,"Unit10: differential equations",2.77777777777778,3.44827586206897,6.66666666666667,6.83908045977012,10,"mUni"
