"subject","YP","qaType","markScheme","uOtot3","rOtot3","notrOtot3","rOtotGrp","idYPSQ","right","tot","qaTypeGrp","subjectQaTypeGrp","subject.rOtotGrp80","QOSnchar","QOSntoken","QOSflesch","YPint","rOtotGrp80","iTopic","topicProp","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic20","topic21","topic22","topic23","topic24","topic25","topic26","topic27","topic28","topic29","topic30","topic31","topic32","topic33","topic34","topic35","topic36","markSchemeGrp"
"P","Y2013P1","MultCorrAns","mark-104",391,122,878,"below25tile","Y2013P1P14",14129,115971,"MultCorrAns","PMultCorrAns","Pbelow79tile",726,215,81.4165408163265,20131,"below79tile","5",0.180266217167244,0.00443433957967646,0.00338651386257858,0.0187955759347759,0.00464840639196517,0.180266217167244,0.00946618920366037,0.0120170661775286,0.0117218928460351,0.00497772805316374,0.0729815201161109,0.0082339767269401,0.0170189954180952,0.00616644512904382,0.00117086163613581,0.144315924069874,0.0415925601800715,0.00503808487022618,0.00142854642699834,0.00953387337536023,0.000867043056019411,0.0309532206859233,0.0552169345204147,0.00109820256891989,0.0187355733611172,0.0343345281909181,0.0437546851172964,0.0148527967235195,0.0460099040902983,0.00414752607324906,0.00502766546293895,0.00229822054060698,0.0267132385510461,0.0033392444656759,0.00740719206732534,0.137267563175978,0.0107817441832689,"mark-ve"
"P","Y2013P1","SingDigitInteger","mark-104",416,286,714,"above25tile","Y2013P1P20",33133,115971,"CreateNewAnsNumInt","PCreateNewAnsNumInt","Pbelow79tile",698,162,70.6504240882104,20131,"below79tile","18",0.589793260097369,0.000656304896393443,7.71601228179653e-06,0.000688870394599016,0.106261791258715,0.00155553826502766,0.000842665410662512,0.0013312682695674,0.00220086509791457,0.00868978392975503,0.0074685571478715,0.00612368214549591,0.00520581954985005,0.00316302315681263,0.000267362163446999,0.0173675695401296,0.000347471249832819,0.000201922047596116,0.589793260097369,0.000742487615272439,4.72794316269069e-05,0.0382987827535666,0.000400038920918498,5.96990043549528e-05,0.000890245623521089,0.000190978974289269,0.00205394534772026,0.0048047453988423,0.00488570406892814,0.00549296583495942,0.119729732573479,0.00021020188601249,0.0124574918529221,0.00726709869077159,0.0190047256954143,0.000351317602558661,0.0309390880915208,"mark-ve"
"P","Y2013P1","SingDigitInteger","mark-104",520,182,818,"above25tile","Y2013P1P19",21102,115971,"CreateNewAnsNumInt","PCreateNewAnsNumInt","Pbelow79tile",908,217,62.0473837209303,20131,"below79tile","13",0.294667973485422,0.000876604629148732,0.00343375464623482,0.00205615260770849,0.217185462864763,0.00322614255518967,0.00540316610978702,0.000640743085935653,0.00805562048913798,0.0109196633065218,0.0190314316899372,0.00865141558930767,0.0282508625692169,0.294667973485422,0.000166227524792152,0.0532603347848301,0.0139435320276327,0.00321285236344102,0.0530905282847665,0.000765229475819986,0.00399471141897272,0.0506976369676226,0.00102591662554185,0.00230637504344445,0.00453054042901102,0.00841489005078139,0.00709839534543217,0.0069445856650692,0.0176455569994327,0.00571840857908607,0.00894282385247691,0.0036729871189652,0.0344195437753081,0.0287389503197134,0.0281604558466939,0.0350391891439465,0.0258113347289089,"mark-ve"
"C","Y2013P1","SingCorrAns","mark+002",15,194,806,"above25tile","Y2013P1C30",22441,115971,"SingCorrAnsComprParaTwolist","CSingCorrAnsComprParaTwolist","Cbelow79tile",359,131,77.7883286516854,20131,"below79tile","13",0.469435002896287,0.000318875190664644,0.122450237695669,0.000930884394001608,0.00973243862734124,0.00138465200461728,0.0027690803739769,8.02504459733938e-05,0.00591208228132285,0.0044354686575573,0.0121817543029018,0.0013966709292022,0.0294052069796384,0.469435002896287,3.10662474455264e-05,0.013896972423618,0.0517452050742243,0.00609780126802644,0.00046125401086911,0.000166810067665735,0.0179192848754782,0.00525337823027699,0.000352441381193333,0.00815819714173668,0.00242754364823595,0.123656975958613,0.00665919978995758,0.00324299495133782,0.00855398831019731,0.00135982467040054,0.00167787065744183,0.0153004511087048,0.0334090050300598,0.00706228358928057,0.00467807158787287,0.0232549179673106,0.00420185723089976,"mark+ve"
"C","Y2013P1","MultCorrAns","mark-104",648,132,868,"above25tile","Y2013P1C35",15253,115971,"MultCorrAns","CMultCorrAns","Cbelow79tile",374,144,90.8337349397591,20131,"below79tile","23",0.220772536553945,0.000469328543099067,0.0788039899697005,0.00584478007095216,0.00133979849714203,0.00287518298852768,0.0037986021843422,0.000749438756026547,0.114977225393826,0.00228503805854987,0.0220618277337458,0.000321944641056719,0.199471249900233,0.0267765600877263,0.000455214067802549,0.00370808355235009,0.00902512290563459,0.0112286041698432,0.000342175279605785,0.000619521332880573,0.0578600526047634,0.00578197715656047,0.00133947682537874,0.220772536553945,0.00781095440147596,0.0664402542602302,0.0118450468811413,0.00187464702833177,0.0177803948186105,0.000489674929788225,0.00029449696320066,0.06061603165664,0.0122413830030165,0.0122424233145892,0.000922496284247318,0.0312866390017283,0.0052478261833075,"mark-ve"
"C","Y2013P1","MultCorrAns","mark-104",217,174,826,"above25tile","Y2013P1C34",20172,115971,"MultCorrAns","CMultCorrAns","Cbelow79tile",454,114,60.1498987341772,20131,"below79tile","35",0.182711986499277,0.0013560403938888,0.0140677995727138,0.00365738680713157,0.0145506850776224,0.00757428304917976,0.00972383988188726,0.00121404852242492,0.0229093170591501,0.0106783014816156,0.0531974413806663,0.00356910244896755,0.034026005415268,0.0740001408743824,0.000353076528910177,0.0597754354942368,0.0128074416272857,0.0164320056785822,0.00144298004563294,0.00242679270804705,0.0151350521439473,0.0274568277437015,0.0244834817590302,0.0138952302281205,0.00764819194863746,0.0150545011426545,0.062237267145408,0.0166635418854935,0.0417666226446837,0.00569018208899439,0.00385598905234361,0.0143941948502547,0.0466657896428815,0.136552680369168,0.0201829077879282,0.182711986499277,0.0218434290198829,"mark-ve"
"C","Y2013P1","SingDigitInteger","mark-104",360,90,910,"below25tile","Y2013P1C38",10450,115971,"CreateNewAnsNumInt","CCreateNewAnsNumInt","Cbelow79tile",238,70,72.4361304347826,20131,"below79tile","25",0.367033813819463,0.00452982986142417,0.020099072940098,0.0184923516784561,0.00525005453294771,0.0232130058879533,0.0164959415798631,0.00390513337408712,0.0201479464204898,0.00494486474341535,0.0739420153202191,0.00336087393129988,0.0291185238722346,0.0100980658813396,0.00265832819840733,0.0405664694406242,0.0199720107784237,0.0129147793303133,0.001644717740617,0.00234687054637588,0.00348285017100374,0.0162983564088776,0.00563930451416076,0.00726566630957311,0.0145228792827782,0.367033813819463,0.0297544171234679,0.0114937916606538,0.112834929414436,0.00570102726201504,0.00170250958375549,0.00553025146897967,0.032509743796954,0.00398929116609632,0.00496314486278003,0.0479558913373087,0.0156212757591083,"mark-ve"
"C","Y2013P1","SingDigitInteger","mark-104",553,98,902,"below25tile","Y2013P1C39",11324,115971,"CreateNewAnsNumInt","CCreateNewAnsNumInt","Cbelow79tile",379,99,76.8417183098592,20131,"below79tile","35",0.379687124304665,0.000433869295921567,0.0171582672656966,0.00514993623037417,0.00133949820180267,0.00400920509850308,0.010790447093895,0.000999815084696715,0.0138047468874586,0.00512766305207394,0.0432614469290823,0.00114973412253831,0.0240255021690678,0.0121177675268166,0.000536757245749273,0.00590952773321772,0.0060802917034894,0.00678767929575378,0.000314085916297072,0.00246870443613107,0.00916005125104662,0.0151114951678316,0.155170649751534,0.0715970991361905,0.0117106846915309,0.0372304331564454,0.0253851430888702,0.0111712351901077,0.0398164758541565,0.00330660942860889,0.00120074333566822,0.0335818222861754,0.0280469613600499,0.00593235744910072,0.00210461822012649,0.379687124304665,0.00832155103932636,"mark-ve"
"M","Y2013P1","SingDigitInteger","mark-104",541,66,934,"below25tile","Y2013P1M60",7632,115971,"CreateNewAnsNumInt","MCreateNewAnsNumInt","Mbelow79tile",624,193,73.0792857142857,20131,"below79tile","7",0.317156034197062,0.00423737722157954,0.000120929785696466,0.0401022347380316,0.0023784119998359,0.0803647810995714,0.0238581678083233,0.317156034197062,0.0297752489757211,0.00648572661970928,0.123332846133515,0.000898050019601863,0.0427502724165634,0.00249433209937999,0.00928037569292726,0.0508987050502314,0.000467355042257081,0.00117769703473385,0.00354652843358905,0.0135251272970409,0.000170751355032993,0.0243977850194713,0.0122301396773231,0.000758344069387331,0.0163347373286734,0.00267414665692293,0.0268748697939072,0.00769848213059429,0.0942887503542223,0.00289031881788147,0.00812802371186109,0.000336905088955619,0.0112090687921617,0.00351350324375062,0.00417587350828718,0.00808005998576278,0.023388038800435,"mark-ve"
"M","Y2013P1","SingDigitInteger","mark-104",728,25,975,"below25tile","Y2013P1M58",2921,115971,"CreateNewAnsNumInt","MCreateNewAnsNumInt","Mbelow79tile",812,288,65.7184803921569,20131,"below79tile","3",0.450807381604825,0.000806360942131965,0.0001529642473909,0.450807381604825,0.000112121104823661,0.109206687065534,0.0129189770058358,0.0103814315588446,0.014219125016431,0.00186770588624395,0.0517158171902341,0.000280035766483556,0.0086245043153188,0.000218595601151641,0.00746344248597213,0.00566665153112975,0.000205572552871703,0.000274955825141065,0.000351804969622425,0.0291756092004801,6.85841094051689e-05,0.00689004541853089,0.169052517270206,0.000160972796353339,0.00986278876621204,0.00267013399180388,0.0507012860630946,0.0078540054773287,0.0241879101162924,0.000528109002089834,0.000175252411300269,0.000325288383833273,0.00567297677633698,0.000281482074021069,9.71655550903305e-05,0.00835273204146621,0.00866900587616906,"mark-ve"
"M","Y2013P1","SingDigitInteger","mark-104",574,230,770,"above25tile","Y2013P1M57",26686,115971,"CreateNewAnsNumInt","MCreateNewAnsNumInt","Mbelow79tile",402,141,90.0505882352941,20131,"below79tile","8",0.317048666591231,0.000864990718428901,0.00225497804708798,0.0195581246814671,0.0103377049113512,0.0103466171862376,0.0224674742991259,0.00398741327918836,0.317048666591231,0.00560124008268462,0.0867237981570716,0.00238051820252471,0.0691338983767286,0.0829356122798353,0.00367640034105373,0.024433422741733,0.00818273279115808,0.00407731978278644,0.00288537718076286,0.00290646350456486,0.00507548781369902,0.0130900228724467,0.00511552693754513,0.00565212010896037,0.0126382186377239,0.00843466010506711,0.0343659622975777,0.00959589430336347,0.0947141402899565,0.00361769818725598,0.00368138512818513,0.00617017043267767,0.0240221118629205,0.0248331803885258,0.00483852826226107,0.0278384415050266,0.036513697711786,"mark-ve"
"P","Y2013P2","MultCorrAns","mark-103",590,98,902,"below25tile","Y2013P2P6",11379,115971,"MultCorrAns","PMultCorrAns","Pbelow79tile",1249,300,61.4978987839771,20132,"below79tile","36",0.512258902268434,0.000519313448241859,3.83522079217169e-06,0.00724130667625247,0.102016533881526,0.00694607020163222,0.00319853154612129,0.0285384596596287,0.0195241439269744,0.00333240235022431,0.0249250863088654,0.0166620492353858,0.00742969567206879,0.000453847383311568,0.015247690939168,0.0162397996939028,0.000146107961003037,0.000164738663457883,0.158322220063555,0.00312299885275236,9.48889183888278e-06,0.0154492422850264,0.00167298014244288,2.68287463441723e-05,0.00288262501895979,0.000212827603452731,0.00991856566869489,0.00797342140336011,0.0138955095131851,0.00480934194481872,0.00288410579234619,3.79734959520792e-05,0.00337005488450926,0.00658538670616521,0.00339926171489647,0.00057865223470876,0.512258902268434,"mark-ve"
"P","Y2013P2","MultCorrAns","mark-103",385,76,924,"below25tile","Y2013P2P7",8816,115971,"MultCorrAns","PMultCorrAns","Pbelow79tile",754,186,67.1994864864865,20132,"below79tile","34",0.386878013237245,0.00419563314203635,0.000318854119994747,0.00143701803796563,0.0193286918611955,0.00803378231027005,0.0042403036006185,0.00224258968176537,0.00265575635515519,0.00631099754767317,0.0245488204062163,0.00272300635918819,0.0109870429878511,0.0540884063660217,0.000207850304705257,0.280988092042623,0.00278592780099193,0.00128827754831806,0.00715988214149992,0.000350586864244603,0.00106732934151959,0.0270226527539318,0.000582034949536063,0.00113966835905184,0.00220935787540703,0.00224626938488029,0.0143883828027287,0.00497576088186772,0.0237217392983666,0.00732966128215108,0.0427718908457241,0.000273186969949364,0.0199044678865289,0.0173397821204051,0.386878013237245,0.00290704184918842,0.0113512406831846,"mark-ve"
"P","Y2013P2","MultCorrAns","mark-103",480,46,954,"below25tile","Y2013P2P1",5388,115971,"MultCorrAns","PMultCorrAns","Pbelow79tile",692,192,74.167720323741,20132,"below79tile","14",0.303066740731126,0.00666946313037163,0.000175987498099471,0.0248397278297122,0.00233991174131393,0.00621564799876318,0.00867878849503981,0.00249428639738414,0.100337429476753,0.00457586460477298,0.110326409713289,0.000893120730721166,0.0218957922454321,0.00191138855572233,0.303066740731126,0.0138965173081081,0.000782019888406974,0.00163660629210102,0.00946175009491699,0.00178231066680024,0.00272961416849381,0.0548140508109381,0.00229226391841755,0.00115179974042772,0.0643345309274662,0.000449396400804639,0.0169571339148307,0.00465362653414236,0.060760172270562,0.00385393114922367,0.00183525252133885,0.00139582575818671,0.0196453636068507,0.09176189412987,0.00316274522305424,0.0101823882497405,0.0380402472768182,"mark-ve"
"P","Y2013P2","MultCorrAns","mark-103",343,108,892,"below25tile","Y2013P2P2",12536,115971,"MultCorrAns","PMultCorrAns","Pbelow79tile",565,150,55.7246734693878,20132,"below79tile","34",0.378711112002023,0.00225617579325298,0.000648184869445946,0.0217637063529095,0.0295085686146999,0.0202784969995557,0.00646225275629659,0.00451500926060011,0.0320659215780658,0.00273466994703312,0.0318724058170307,0.00523892763152096,0.0203901675040265,0.0624607894285486,0.00119200197197633,0.152281418910201,0.00269175128937615,0.00143652601598343,0.00817878452938998,0.000814501514316072,0.00114688808021394,0.0144435536566259,0.000553565155272608,0.00180313127161501,0.00283474762730245,0.0032107363173087,0.00937576020026601,0.00597211353262296,0.0342861419254567,0.028185989740952,0.0240756483519839,0.000872100025564255,0.0213383898478383,0.0301502046644277,0.378711112002023,0.00536198469791317,0.0308876721183842,"mark-ve"
"P","Y2013P2","ParaSingleAns","mark-103",424,286,714,"above25tile","Y2013P2P15",33223,115971,"SingCorrAnsComprParaTwolist","PSingCorrAnsComprParaTwolist","Pbelow79tile",280,84,72.1032051282051,20132,"below79tile","31",0.249650622155776,0.00099447482018919,0.0191059445166577,0.00168529556301447,0.0123935047282702,0.00208372321873901,0.00472799433144078,0.000175440074754302,0.0162750594155959,0.0135127591724933,0.0247264141817774,0.00723193957938084,0.0550796884743038,0.184110080264682,9.57403441463566e-05,0.00773293853116648,0.0348052344040322,0.0126115058011088,0.00100223900784736,0.00084444954143669,0.0469493625803745,0.0193931230673412,0.00271960339877477,0.0186866906306095,0.00514818797596252,0.0192890781900349,0.017558853079134,0.0180562895954776,0.0173418921275741,0.00544797587772917,0.0050114872586866,0.249650622155776,0.0896775296169642,0.0337893436247972,0.00812199835359395,0.0366588156871425,0.00730472080899052,"mark-ve"
"P","Y2013P2","ParaSingleAns","mark-103",478,102,898,"below25tile","Y2013P2P12",11781,115971,"SingCorrAnsComprParaTwolist","PSingCorrAnsComprParaTwolist","Pbelow79tile",640,190,79.2026315789474,20132,"below79tile","8",0.381437648494127,9.82038368024194e-05,0.00385225784595799,0.00390381730256358,0.213585012492584,0.00151522878886484,0.00943088497662303,0.0010620212615786,0.381437648494127,0.00117141420005581,0.0183491223669519,0.0044792846617824,0.058194464681666,0.0390647391832251,0.000555246882037784,0.00769547615714449,0.0212249504595611,0.00529274201890363,0.00234620844417818,0.00101948345937779,0.00106851719394831,0.0034069417698734,0.00172716297861877,0.00306990863202376,0.00780670233848727,0.00686113456764087,0.00891373424996695,0.00451305589935781,0.0192573488381805,0.00191792136289623,0.000797231432060203,0.00663495398358571,0.00659431944182807,0.0218491144765877,0.00465618315955363,0.115400333033443,0.0112472291279629,"mark-ve"
"C","Y2013P2","SingCorrAns","mark-103",480,242,758,"above25tile","Y2013P2C25",28047,115971,"SingCorrAnsComprParaTwolist","CSingCorrAnsComprParaTwolist","Cbelow79tile",237,98,98.97125,20132,"below79tile","13",0.359299115949029,0.000153093937703629,0.00985903486594939,0.00409998970626728,0.00738249622913822,0.0018012730724385,0.00983942717593362,0.000670900088036434,0.20295642717748,0.00306638041600325,0.0338780392237507,0.000715335179678781,0.0610309607042223,0.359299115949029,0.000316003302437486,0.00984286375355367,0.0123187093221435,0.00497171480727258,0.000767059868037075,0.000735085748173013,0.0155047067676301,0.00536537950189798,0.00119647282559878,0.0796824513700098,0.0040281772337909,0.0095006441784537,0.0161575283540238,0.00489831858990958,0.0285974733066436,0.00110908432568054,0.00217434963531457,0.0211461123591456,0.0188394327274419,0.0259402825815706,0.00392859817380497,0.0283067958988976,0.00992028164293829,"mark-ve"
"C","Y2013P2","SingCorrAns","mark-103",342,238,762,"above25tile","Y2013P2C27",27625,115971,"SingCorrAnsComprParaTwolist","CSingCorrAnsComprParaTwolist","Cbelow79tile",283,91,79.3224509803922,20132,"below79tile","13",0.639948332303968,0.000427558798059268,0.00458940173352207,0.0015451765708701,0.015762363582474,0.00166915845040521,0.00511095031765335,0.000184159666765676,0.0123835856093079,0.00763111793270077,0.0216736175524971,0.00266781666666602,0.0570634270344382,0.639948332303968,9.74531123642175e-05,0.0143511097605077,0.0177349706551997,0.00420748123375207,0.00090709812287405,0.000330451010914348,0.0195828034535818,0.0103563776625462,0.000797722432214832,0.00637781040466284,0.00433173675714429,0.0072363549929011,0.0106723082293775,0.00511605621487121,0.0172429064278344,0.00204324013439219,0.00436472360352007,0.0111436946318945,0.0298490844517732,0.0246412891538851,0.00956801290456431,0.0194628805213482,0.00892776790854892,"mark-ve"
